layer,input_index,output_index,weight
fc1.weight,3,33,0
fc1.weight,4,33,0
fc1.weight,5,33,0
fc1.weight,0,34,-3508
fc1.weight,1,34,-198
fc1.weight,2,34,1709
fc1.weight,3,34,-686
fc1.weight,4,34,-609
fc1.weight,5,34,1022
fc1.weight,0,35,385
fc1.weight,1,35,-31135
fc1.weight,2,35,449
fc1.weight,3,35,346
fc1.weight,4,35,61
fc1.weight,5,35,-107
fc1.weight,0,36,-3168
fc1.weight,1,36,3475
fc1.weight,2,36,-919
fc1.weight,3,36,-139
fc1.weight,4,36,-451
fc1.weight,5,36,-131
fc1.weight,0,37,16
fc1.weight,1,37,-16
fc1.weight,2,37,86
fc1.weight,3,37,73
fc1.weight,4,37,68
fc1.weight,5,37,78
fc1.weight,0,38,0
fc1.weight,1,38,0
fc1.weight,2,38,0
fc1.weight,3,38,0
fc1.weight,4,38,0
fc1.weight,5,38,0
fc1.weight,0,39,1227
fc1.weight,1,39,1336
fc1.weight,2,39,-940
fc1.weight,3,39,256
fc1.weight,4,39,250
fc1.weight,5,39,79
fc1.weight,0,40,-8426
fc1.weight,1,40,158
fc1.weight,2,40,1023
fc1.weight,3,40,285
fc1.weight,4,40,1119
fc1.weight,5,40,773
fc1.weight,0,41,-5784
fc1.weight,1,41,4212
fc1.weight,2,41,-1659
fc1.weight,3,41,1689
fc1.weight,4,41,-375
fc1.weight,5,41,-825
fc1.weight,0,42,3583
fc1.weight,1,42,1
fc1.weight,2,42,-2678
fc1.weight,3,42,1039
fc1.weight,4,42,-913
fc1.weight,5,42,1020
fc1.weight,0,43,-4136
fc1.weight,1,43,3093
fc1.weight,2,43,-986
fc1.weight,3,43,1239
fc1.weight,4,43,169
fc1.weight,5,43,228
fc1.weight,0,44,-11123
fc1.weight,1,44,1593
fc1.weight,2,44,1031
fc1.weight,3,44,-19
fc1.weight,4,44,281
fc1.weight,5,44,-3
fc1.weight,0,45,4037
fc1.weight,1,45,-4214
fc1.weight,2,45,3294
fc1.weight,3,45,1687
fc1.weight,4,45,1060
fc1.weight,5,45,1943
fc1.weight,0,46,0
fc1.weight,1,46,0
fc1.weight,2,46,0
fc1.weight,3,46,0
fc1.weight,4,46,0
fc1.weight,5,46,0
fc1.weight,0,47,-7772
fc1.weight,1,47,2496
fc1.weight,2,47,1147
fc1.weight,3,47,-403
fc1.weight,4,47,692
fc1.weight,5,47,94
fc1.weight,0,48,0
fc1.weight,1,48,0
fc1.weight,2,48,0
fc1.weight,3,48,0
fc1.weight,4,48,0
fc1.weight,5,48,0
fc1.weight,0,49,-3985
fc1.weight,1,49,-12529
fc1.weight,2,49,1033
fc1.weight,3,49,29
fc1.weight,4,49,542
fc1.weight,5,49,-32
fc1.weight,0,50,2950
fc1.weight,1,50,-5249
fc1.weight,2,50,358
fc1.weight,3,50,-1267
fc1.weight,4,50,619
fc1.weight,5,50,292
fc1.weight,0,51,-4787
fc1.weight,1,51,2614
fc1.weight,2,51,1025
fc1.weight,3,51,1332
fc1.weight,4,51,1024
fc1.weight,5,51,1043
fc1.weight,0,52,0
fc1.weight,1,52,0
fc1.weight,2,52,0
fc1.weight,3,52,0
fc1.weight,4,52,0
fc1.weight,5,52,0
fc1.weight,0,53,0
fc1.weight,1,53,0
fc1.weight,2,53,0
fc1.weight,3,53,0
fc1.weight,4,53,0
fc1.weight,5,53,0
