32382,33411,32896,34182,34439,34439,33668,32639,33154,33925,34439,34439,33411,32125,32639,33925,33668,34439,33925,31868,32125,34953,32639,33411,32382,31868,30840,32125,32125,32382,31097,30583,31611,31611,32125,31868,31354,31097,31354,32382,32382,32896,32896,31354,31097,32896,33154,32639,32639,32125,32382,32896,33411,33411,32639,32125,32382,32896,33154,33668,32639,31868,32896,33154,33154,33411,33925,31611,32382,33668,33668,33154,32639,33154,31868,33154,32125,33668,33668,32639,32639,34182,33411,33925,33925,32382,33411,32382,33925,33925,33154,33154,33154,33668,32896,34182,32639,32382,31868,32125,32639,33154,32382,31354,31868,31611,32639,32382,32639,30840,32125,33668,32382,33668,33154,31868,31354,33668,33154,32639,32639,32639,32125,33668,33925,34953,34696,33668,34696,35467,36752,37523,36238,35467,35724,36752,35981,35981,35724,35210,37780,39322,41635,43177,44462,44976,43948,43177,37009,25957,17476,11051,8995,12850,20817,25957,26471,27242,30326,32382,33154,32896,31097,30326,32382,32639,32896,33154,32125,32382,32125,33411,33154,32639,32639,32382,32639,33154,33411,32639,32639,32639,32382,33411,33411,33411,32382,32125,32382,32896,33154,33925,32382,32125,31868,33411,32896,33154,33925,32382,32639,32896,33154,33668,33154,32896,32896,32896,33925,33668,33154,32639,33668,33925,34696,34182,33154,32639,33668,33925,34439,33925,33668,32382,33411,33668,33925,34182,32896,31611,31611,32896,33411,32896,31868,31354,31611,31868,33154,33411,32639,32382,31868,32382,33411,32382,33668,32382,32382,31611,33668,34696,32896,32382,32382,32639,33411,32896,33668,32125,32125,32896,33411,33411,32639,32125,32639,33668,33668,33668,32896,32125,31868,32896,32896,34439,32896,31868,32896,33154,33154,33925,33154,32639,31611,33411,33925,33668,32639,32896
33411,32382,32125,32382,32896,33154,33925,32382,32125,31868,33411,32896,33154,33925,32382,32639,32896,33154,33668,33154,32896,32896,32896,33925,33668,33154,32639,33668,33925,34696,34182,33154,32639,33668,33925,34439,33925,33668,32382,33411,33668,33925,34182,32896,31611,31611,32896,33411,32896,31868,31354,31611,31868,33154,33411,32639,32382,31868,32382,33411,32382,33668,32382,32382,31611,33668,34696,32896,32382,32382,32639,33411,32896,33668,32125,32125,32896,33411,33411,32639,32125,32639,33668,33668,33668,32896,32125,31868,32896,32896,34439,32896,31868,32896,33154,33154,33925,33154,32639,31611,33411,33925,33668,32639,31868,32382,33411,34182,33925,33154,32639,33154,33925,33925,33925,33154,32639,33411,33154,35210,34182,33668,32382,32125,34696,34696,35467,35210,33925,34182,34182,36752,35981,34953,35467,35981,36238,37266,36238,36752,36238,36495,36238,37009,36495,37523,37009,34439,32639,31868,30840,30583,32639,31097,32125,32125,33154,32125,31097,31868,31354,32896,33925,33925,31611,29812,29041,26985,25443,21845,20560,21331,26214,27499,28784,30583,30326,31611,31868,31868,31868,32639,31354,31354,32639,33668,32896,32382,32639,31611,32639,33411,32896,32382,31611,31868,32382,33154,33925,32382,32125,32125,32639,33668,32896,33154,31868,31611,32382,33411,33154,32382,32125,31611,33925,33154,33411,32896,32639,32125,32896,32639,34696,33154,32382,32382,33668,33154,33411,33411,33154,32125,34182,33925,34439,33925,33411,33668,34696,34696,34696,34439,32639,33154,33411,35467,35210,33925,33668,33154,33668,33668,34182,33411,32639,31868,32896,32896,33411,33411,32125,31611,32639,33668,33668,32639,32382,32896,32639,32896,33668,31868,32639,31611,33154,32639,34439,33154,31354,32382,33154,34182,33411,33668,31097,32639,31868,33411,34696,32896
31611,33154,32639,34439,33154,31354,32382,33154,34182,33411,33668,31097,32639,31868,33411,34696,33154,31868,32639,32382,34182,34439,32896,32382,31868,33154,33411,33668,33154,32125,32382,32639,33668,33925,33154,31868,33411,32382,34696,33154,32896,31868,32639,33154,33411,33925,31868,32382,32125,33154,33668,34182,33154,31868,32382,33668,33411,33668,33154,31354,32639,32639,32896,33411,33154,32125,33154,32639,33925,33668,32639,32639,31611,34182,33411,33411,32896,32125,33154,32639,35467,34439,33411,32382,32382,33668,34439,33925,33925,32896,31868,33411,33154,33668,32125,31611,31868,31354,33411,33668,32639,31097,32125,32639,32125,32382,32639,33154,31611,32125,32896,33668,32896,32639,32896,32639,33925,33154,32382,33154,31868,32896,33411,33925,33154,31868,31868,33154,33925,34953,32639,31611,32125,32125,33668,35467,38037,37266,40864,43691,47546,49859,47546,43434,38294,27499,18761,14906,13621,14392,20817,28270,32896,33154,32125,32896,33411,33668,34439,32639,32125,32639,31611,32382,33411,32896,33154,32639,31868,32639,33925,33668,32382,32896,33411,33154,33668,33925,32382,32382,32382,33154,33154,33411,33411,31611,32639,33668,33154,34182,33154,32896,32639,33668,33411,34439,32382,32125,33154,33154,34182,33668,33411,32896,33154,33668,33925,34182,33411,32896,32896,33411,34439,34696,34439,33154,33154,34182,33925,34439,33411,33154,32896,33925,33925,34182,32639,33411,32639,33154,33925,33411,32896,31354,31097,31868,32639,32896,31611,30840,32125,31611,31354,32896,31097,30326,30840,31868,32639,32125,32125,30583,31868,32125,33154,33668,31868,32639,31611,31868,34439,32896,32639,31354,32382,32896,32896,33154,32896,32639,33154,32382,33925,33411,32896,32382,32639,32382,33154,33668,33154,31868,31868,33154,33925,33411,33411,32125,32125,32896
32125,31611,31354,32896,31097,30326,30840,31868,32639,32125,32125,30583,31868,32125,33154,33668,31868,32639,31611,31868,34439,32896,32639,31354,32382,32896,32896,33154,32896,32639,33154,32382,33925,33411,32896,32382,32639,32382,33154,33668,33154,31868,31868,33154,33925,33411,33411,32125,32125,33154,32896,34182,32896,32125,32382,32382,33411,32639,33411,32639,32896,32639,33668,32639,34182,32382,32125,32639,33411,33668,32125,32125,32382,33411,33668,33154,33154,33154,33668,33668,34182,33411,33154,32382,33154,32896,34182,33668,33668,31611,33411,32125,33154,33411,32639,32125,31868,32896,32896,32125,32639,31097,32639,31611,33154,32382,32382,31611,32125,32896,33925,33925,33925,32125,33925,33411,34953,36238,35467,36495,35210,36238,36495,36752,36752,36238,35210,35981,36238,36238,35724,35724,35724,36238,35724,37523,37523,38808,40350,38294,36495,38037,37780,36752,37780,36238,33668,27756,19275,15677,15677,16705,20303,22102,23901,25443,26728,30326,31354,32896,32125,31097,31097,32125,32639,32639,31868,32125,31868,32382,33411,33668,32639,32639,31868,32896,33668,33411,32382,32125,32382,31868,34182,33411,32639,32125,31868,32125,33154,33411,32896,32382,32125,32639,33668,33154,33154,32125,31868,32382,33411,33411,32639,32125,32382,32896,33411,33925,32382,32896,32382,33668,33154,33925,32896,32896,33411,33411,33411,33668,33411,32896,33668,33668,34182,34439,34439,32382,33411,33411,33925,34439,34439,32639,33411,33411,33925,34182,33411,33411,33154,33154,33411,33668,32382,32125,31868,32382,33154,32639,33154,32382,31611,32896,33154,33668,32896,32125,32382,32639,33411,33925,32896,32382,32382,32896,32896,33668,32896,31868,32382,32382,33668,33925,33154,32639,32125,32639,33925,33411,32896,32125,31868,33411,34182,33668,32382,33668,32639,32896
33411,32896,32382,32125,32639,33668,33154,33154,32125,31868,32382,33411,33411,32639,32125,32382,32896,33411,33925,32382,32896,32382,33668,33154,33925,32896,32896,33411,33411,33411,33668,33411,32896,33668,33668,34182,34439,34439,32382,33411,33411,33925,34439,34439,32639,33411,33411,33925,34182,33411,33411,33154,33154,33411,33668,32382,32125,31868,32382,33154,32639,33154,32382,31611,32896,33154,33668,32896,32125,32382,32639,33411,33925,32896,32382,32382,32896,32896,33668,32896,31868,32382,32382,33668,33925,33154,32639,32125,32639,33925,33411,32896,32125,31868,33411,34182,33668,32382,33668,32639,33925,34439,34953,33925,34182,34439,34953,35981,35981,35210,35981,35724,35724,35981,37780,36495,35210,34696,35724,36238,36495,34953,34439,34439,34953,35724,34696,33154,31868,30840,30326,32382,32896,31097,30583,31611,33411,32639,32382,32896,31611,32639,34182,35467,36238,33154,29298,28270,26214,26471,23901,22616,24415,26728,28527,30326,31868,31611,32125,31354,32639,33411,33668,32639,32382,31354,32125,33411,32639,32125,31354,32125,32382,32896,32639,32639,31097,31611,31354,33154,32382,32382,31354,32125,32382,33411,31868,33411,32125,32125,32382,32896,33411,33154,32125,31097,32125,33154,34182,33154,31868,31354,33668,33668,33154,32382,33411,32382,32639,33668,33925,32382,33668,32639,33154,33925,34439,33668,33411,32896,33668,33668,35724,33925,33668,33411,33668,34439,34182,33668,33411,33411,33925,34182,33668,33925,32382,31097,32896,33411,33411,33668,32382,31868,32896,32896,33925,32639,32639,32382,31868,33925,33154,33154,32639,32125,32382,33668,33925,32639,32382,31611,33411,33668,34439,32382,32896,31868,33668,33154,34182,32896,32382,32125,32639,33668,33411,32896,32382,31868,33411,33668,34182,33154,32125,31868,32896,33668,33668,32896
32896,33925,32125,32639,31868,33925,34182,33668,32125,32125,33154,33154,33411,32639,32896,32125,32639,33154,33411,32896,32382,32382,32896,33668,33668,32639,32639,32125,33411,32896,34439,32125,31868,32639,31868,33925,33668,33668,33154,31611,32125,33668,33411,33154,32125,32382,32382,33668,33668,33154,33154,31868,33411,33154,33668,33154,31611,31611,32639,33411,33925,33411,32639,31354,32382,33411,33925,33411,32639,31868,32896,33925,33925,32896,32125,32382,32639,33411,33668,32896,32125,32125,33925,34439,34696,33411,32382,32382,33668,33668,33411,34439,33411,32382,32896,33668,32639,32125,32639,31354,32382,32639,33668,32382,31868,31611,32125,32639,33154,32639,31868,31611,32896,32639,34439,33411,32125,32125,32639,33668,32896,33154,32639,32125,32639,34182,33925,33154,31868,32639,33154,33154,32382,32125,31097,35210,36495,38808,40607,43177,44462,46775,48060,47032,41378,29555,18761,14649,14906,15677,23130,27242,30583,31354,32382,33411,34182,34182,32639,31354,31611,32896,34439,32639,31097,32382,31868,33925,32896,33668,32639,32125,32639,33668,34439,33668,32639,31868,32896,32382,34439,33154,32896,31354,33154,32896,33925,32896,32896,33154,32896,33925,33411,33668,31868,32382,33154,33925,33668,33668,32896,32125,33154,33925,34439,32382,33154,33154,32639,33411,34439,34439,33154,31611,33668,34696,33668,33925,32639,32125,33925,34182,34696,34439,32639,32382,33154,33925,34182,33411,33154,32639,33411,33154,34182,33411,32125,32125,32639,31868,33925,32382,31611,30840,31611,32125,32639,31611,32639,30069,31354,31868,32382,32125,31611,31611,30840,32896,32896,33154,32382,32125,31611,33154,34182,32639,32382,31868,32639,33411,32896,33411,32125,32125,32382,33668,33411,33411,33154,31868,32896,33154,33411,33154,32125,32125,32896,32896,33925,32896
33154,33925,33668,33668,32896,32125,33154,33925,34439,32382,33154,33154,32639,33411,34439,34439,33154,31611,33668,34696,33668,33925,32639,32125,33925,34182,34696,34439,32639,32382,33154,33925,34182,33411,33154,32639,33411,33154,34182,33411,32125,32125,32639,31868,33925,32382,31611,30840,31611,32125,32639,31611,32639,30069,31354,31868,32382,32125,31611,31611,30840,32896,32896,33154,32382,32125,31611,33154,34182,32639,32382,31868,32639,33411,32896,33411,32125,32125,32382,33668,33411,33411,33154,31868,32896,33154,33411,33154,32125,32125,32896,32896,33925,33154,32125,32382,32896,33668,34439,33411,31354,31868,32125,33925,33668,32639,32125,32382,33154,32896,33668,33925,32639,32639,33668,33154,34182,32896,32639,33411,33154,34182,34439,34696,34182,34182,35210,35210,36238,35981,34696,35467,35724,35981,37780,35467,35210,34182,35467,36238,36495,36495,35467,35210,36495,38294,38294,36752,32382,30326,30069,30840,32125,30840,30583,30069,33154,32639,33411,32639,31354,31868,32896,33411,32125,28784,28270,23901,22873,21845,22873,22873,26985,27756,29555,31611,32125,32382,30840,31097,31611,32639,33154,32896,32382,31611,32125,33668,32382,32382,32639,31611,32382,32382,33411,32125,32382,31868,32382,33154,32896,32639,32639,31611,31868,33411,33154,32896,32125,31868,31868,33411,33668,33668,32639,32125,32382,33411,33411,33154,32382,32896,32896,33925,33411,34439,33411,32639,33925,34953,34953,34439,33925,33668,34439,34696,35467,33925,32896,33925,33668,34696,35210,34439,32639,32896,32896,33925,34439,32896,32896,31354,32639,33154,33925,32639,32125,32382,32382,33154,33668,33668,31868,32125,32896,33154,34182,33154,31354,33154,31868,33154,33925,33154,33154,31611,33154,33668,33411,33411,32125,32382,32639,33411,33154,33154,32382,32639,33154,32896
32382,32382,33154,33668,33668,31868,32125,32896,33154,34182,33154,31354,33154,31868,33154,33925,33154,33154,31611,33154,33668,33411,33411,32125,32382,32639,33411,33154,33154,32382,32639,33154,33154,34182,32896,32382,32639,31868,33668,33411,33668,32382,31611,33411,32896,34439,33411,32125,33154,32639,33668,33411,33154,32382,32382,32639,33154,33925,32896,32639,32382,32382,34439,33154,33411,32896,31868,32639,33668,33925,33411,32125,32125,32125,33925,32639,33668,33411,32382,32896,33925,34439,34182,33154,32639,32896,33411,33925,34182,32382,33411,33668,33411,33925,33925,31354,31097,32125,32896,33154,32382,32125,31097,32125,32639,33668,32639,32125,32382,31611,33925,32639,32382,33154,32125,32896,33154,33668,32896,32639,32125,32896,33925,33154,33411,32896,32125,32639,33411,33925,32896,32382,32125,31611,33411,35467,37523,38551,40350,42663,46775,49088,48831,44719,37523,25957,15677,12850,12850,18761,26214,29812,31611,31868,33154,33925,32896,32382,31868,32896,33411,32125,31354,32896,33411,33925,33668,32896,32125,32382,33668,33411,32639,32896,31611,33154,33668,33925,33154,32639,32639,33411,33668,32896,34439,31868,32639,32639,33925,33411,33411,32896,32639,33411,33668,33668,33925,33411,33154,32896,33411,34439,33411,33668,33154,32896,33925,34439,33668,34439,33411,33154,33668,35210,34182,33154,33668,32896,33411,35467,33411,33154,33154,32382,34182,34439,32896,33154,31097,31868,31868,32382,32125,31097,29812,31354,32125,32125,31868,30840,30840,31354,31868,32639,32125,31354,32125,31097,33411,32639,33668,32382,31868,32382,33411,33668,32639,32382,31354,32125,32896,34696,32896,32639,32125,31611,33411,34182,32639,32382,33411,32382,33668,33668,33668,32125,31868,32382,33154,33154,33154,32896,32125,33154,33411,34182,32896,32639,32382,32896
33154,32382,34182,34439,32896,33154,31097,31868,31868,32382,32125,31097,29812,31354,32125,32125,31868,30840,30840,31354,31868,32639,32125,31354,32125,31097,33411,32639,33668,32382,31868,32382,33411,33668,32639,32382,31354,32125,32896,34696,32896,32639,32125,31611,33411,34182,32639,32382,33411,32382,33668,33668,33668,32125,31868,32382,33154,33154,33154,32896,32125,33154,33411,34182,32896,32639,32382,32125,33668,33925,32125,33154,31611,32896,33411,33925,33668,33154,33154,33411,34696,33154,33925,32896,32382,33411,33925,33925,33925,31611,32125,32125,33411,33411,32639,31611,32125,31611,33154,32639,32382,30583,32125,32382,32639,33411,32125,32896,31611,32896,33154,34182,32896,32896,31611,32639,32639,33925,32382,32639,31868,32382,34182,33925,32896,32896,32382,33154,32639,33925,33411,32125,31611,32382,33668,36495,37266,38551,40607,43434,46261,48060,46775,43434,37780,26728,19275,14135,15420,17990,22616,28270,30326,31354,32125,33411,33154,34182,33668,32639,32125,32382,31868,31868,32382,34439,32382,32896,31868,33154,33668,34182,33154,33154,31868,32382,33154,33411,33411,32896,32382,32382,33411,33925,32382,33668,32896,32639,33668,34182,33411,32382,31611,33668,33668,33668,33411,32639,32896,32896,33668,34182,33925,34182,31868,33411,33411,34696,34182,33154,33411,33154,33668,33411,34953,33925,32639,33925,34182,34439,33925,31868,33411,33154,33411,33411,33411,32125,31611,32125,32125,32382,31868,31868,30583,30840,31868,31611,31868,30840,31097,30840,32382,32896,32382,32125,31354,31354,33154,32639,32896,32639,31611,32125,32896,33154,33668,32382,32382,32639,33154,33411,32639,31611,33154,32382,33411,33925,32639,31868,32382,33411,33925,33411,32639,32382,31868,32896,33668,33925,33154,32896,30583,32896,33668,33925,32896,33668,31611,32896
32639,33925,34182,34439,33925,31868,33411,33154,33411,33411,33411,32125,31611,32125,32125,32382,31868,31868,30583,30840,31868,31611,31868,30840,31097,30840,32382,32896,32382,32125,31354,31354,33154,32639,32896,32639,31611,32125,32896,33154,33668,32382,32382,32639,33154,33411,32639,31611,33154,32382,33411,33925,32639,31868,32382,33411,33925,33411,32639,32382,31868,32896,33668,33925,33154,32896,30583,32896,33668,33925,32896,33668,31611,33154,33154,33411,33154,32382,31611,33154,32896,33154,33668,32639,31611,33154,33668,34439,33668,32639,33154,32639,34182,34182,32896,32639,33925,32896,33925,33668,33925,32639,32125,32896,32896,32639,32639,33154,33925,34439,34439,36495,35981,35210,35210,34439,37266,37009,37009,35981,34953,35210,36752,37523,37009,36495,35981,37009,38551,38551,35467,32125,31354,30840,32125,32896,31868,30583,31354,31868,32639,31611,32125,31354,32896,33668,33154,31354,27242,24415,20046,20817,21588,23901,24672,27242,28784,30069,32125,32896,32382,32125,30326,31868,32125,32896,31868,32639,31354,32125,32639,33411,32639,32125,32125,32896,32896,32896,33154,31097,32639,32382,32639,32896,32896,32896,31097,32125,32382,33925,33411,32125,32382,32125,32896,33154,32639,32382,32639,32639,33154,33668,33411,32125,32896,32896,33411,33668,33925,32896,32382,32896,34182,34439,34182,34182,32382,33154,34696,35210,34953,33925,33925,33668,34696,35210,34439,33411,33411,33154,34953,33668,33925,33411,32896,32639,33668,32639,33154,31611,32639,32382,32639,33668,32382,33154,31611,32639,33411,33925,32639,32382,32382,33411,33154,33411,33154,32382,31611,32382,32382,33411,33411,33154,32125,31868,33925,34182,32896,31868,32639,32125,33411,33668,33154,32382,33154,32382,33668,33411,33411,32639,32639,32896,32896,33925,32896,32639,31868,32896
